site_code,latitude,longitude,well_depth,well_use,geology,Region_Off,Basin_Subb,observations_2010,observations_2011,observations_2012,observations_2013,observations_2014,observations_2015,observations_2016,observations_2017,observations_2018,observations_2019,observations_2020,observations_2021,observations_2022,observations_2023,observations_2024
350750N1188828W001,35.0753,-118.88279,1206.0,Observation,['Q'],SCRO,5-022.18,2,2,0,0,0,0,0,0,0,0,1,2,2,2,2
350766N1190413W001,35.0766,-119.0413,970.0,Irrigation,['Q'],SCRO,5-022.14,2,2,1,1,1,2,2,2,1,2,2,1,2,2,0
350772N1191087W001,35.0771,-119.10918,800.0,Unknown,['Q'],SCRO,5-022.14,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0
350772N1191178W001,35.07743,-119.11721,2050.0,Unknown,['Q'],SCRO,5-022.14,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
350778N1190826W001,35.0778,-119.0826,1008.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,1,2,2,1,2,2,0,1,2,1
350900N1189003W001,35.0902,-118.90035,1500.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,2,2,2,1,2,2,0,1,0,0
350943N1191736W001,35.0943,-119.17355,700.0,Irrigation,['Q'],SCRO,5-022.14,1,2,2,2,1,1,1,2,1,2,2,2,2,2,1
350947N1191370W001,35.09466,-119.13748,1802.0,Unknown,['Q'],SCRO,5-022.14,2,2,2,2,2,3,3,3,3,3,2,2,2,2,1
350950N1186328W001,35.0946,-118.6245,384.0,Stockwatering,['Q'],SCRO,5-027,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
350958N1190788W001,35.09511,-119.07552,800.0,Industrial,['Q'],SCRO,5-022.14,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2
350961N1190435W001,35.09602,-119.04069,1314.0,Unknown,['Q'],SCRO,5-022.14,4,6,6,3,4,5,5,4,3,3,2,2,2,2,1
351002N1184169W001,35.10985,-118.42943,555.0,Observation,['Q'],SCRO,5-028,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
351036N1188640W001,35.10016,-118.86882,1004.0,Irrigation,['Q'],SCRO,5-022.18,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2
351052N1185930W001,35.10519,-118.59296,400.0,Other,['Q'],SCRO,5-027,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0
351083N1193140W001,35.10876,-119.31314,1002.0,Unknown,['Q'],SCRO,5-022.14,3,4,3,1,1,1,0,0,0,1,2,2,1,2,1
351087N1186088W001,35.10873,-118.60888,500.0,Other,['Q'],SCRO,5-027,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0
351091N1185369W001,35.10914,-118.5369,334.0,Other,['Q'],SCRO,5-080,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0
351092N1191270W001,35.10948,-119.1232,1002.0,Unknown,['Q'],SCRO,5-022.14,3,4,2,2,1,3,4,4,3,3,2,2,2,2,1
351129N1184450W001,35.11304,-118.44493,501.0,Irrigation,['Q'],SCRO,5-028,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0
351163N1185833W001,35.1163,-118.5833,350.0,Observation,['Q'],SCRO,5-027,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
351166N1184560W001,35.11662,-118.45604,600.0,Other,['Q'],SCRO,5-028,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0
351167N1183668W001,35.11724,-118.48459,176.0,Observation,['Qoa'],SCRO,5-028,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
351212N1188637W001,35.12122,-118.86365,948.0,Irrigation,['Q'],SCRO,5-022.14,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0
351219N1190132W001,35.1219,-119.0132,23.0,Observation,['Q'],SCRO,5-022.14,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
351237N1185931W001,35.1237,-118.59307,460.0,Other,['Q'],SCRO,5-027,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0
351238N1193959W002,35.12379,-119.39587,280.0,Observation,['Q'],SCRO,5-022.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
351247N1190518W001,35.1239,-119.04792,201.0,Irrigation,['Q'],SCRO,5-022.14,0,0,1,1,1,2,1,1,2,1,2,2,2,0,0
351248N1184616W001,35.12478,-118.46152,294.0,Residential,['Q'],SCRO,5-028,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
351248N1184825W001,35.12472,-118.4827,436.0,Other,['Qoa'],SCRO,5-028,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0
351250N1190338W001,35.12409,-119.03117,139.0,Irrigation,['Q'],SCRO,5-022.14,0,0,1,1,1,1,0,1,2,1,2,1,1,0,1
351256N1189995W001,35.12539,-118.99949,686.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,1,2,2,2,1,1,0,1,0,1,0
351263N1184324W001,35.1263,-118.43238,550.0,Other,['Q'],SCRO,5-028,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0
351296N1193938W004,35.12957,-119.39378,195.0,Observation,['Q'],SCRO,5-022.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
351300N1189357W001,35.13014,-118.93255,806.0,Unknown,['Q'],SCRO,5-022.14,2,1,2,2,2,2,2,2,1,0,2,2,2,2,1
351303N1192078W001,35.13376,-119.20768,1201.0,Irrigation,['Q'],SCRO,5-022.14,1,1,2,2,2,3,1,1,0,2,2,2,2,2,1
351324N1194113W002,35.13242,-119.41127,360.0,Observation,['QPc'],SCRO,5-022.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
351372N1194175W002,35.13722,-119.41745,170.0,Observation,['QPc'],SCRO,5-022.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
351377N1188636W001,35.13768,-118.86359,996.0,Irrigation,['Q'],SCRO,5-022.14,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0
351386N1190751W001,35.13861,-119.07526,612.0,Residential,['Q'],SCRO,5-022.14,2,2,2,2,2,3,1,1,2,2,2,2,2,2,2
351447N1192162W001,35.1447,-119.2162,1000.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2
351519N1190932W001,35.15195,-119.09241,577.0,Residential,['Q'],SCRO,5-022.14,2,2,2,2,2,3,1,1,2,2,2,2,2,1,0
351522N1188199W001,35.15131,-118.8184,520.0,Unknown,['Q'],SCRO,5-022.14,4,2,2,0,1,2,1,2,1,2,2,2,2,2,2
351529N1194442W002,35.1529,-119.4442,344.0,Observation,['Q'],SCRO,5-022.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
351694N1190530W001,35.16978,-119.04914,808.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,2,1,1,1,1,1,0,1,1,0
351719N1190748W001,35.17203,-119.07472,685.0,Irrigation,['Q'],SCRO,5-022.14,1,1,0,1,0,3,1,1,2,2,2,2,2,2,1
351742N1191584W001,35.1742,-119.1584,850.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
351750N1191757W001,35.29731,-119.29922,805.0,Residential,['Q'],SCRO,5-022.14,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0
351811N1192358W001,35.1811,-119.23581,1008.0,Irrigation,['Q'],SCRO,5-022.14,0,1,2,2,2,2,2,2,2,2,4,2,2,2,2
351858N1191115W001,35.1858,-119.1115,700.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
351867N1190820W001,35.18677,-119.08121,701.0,Irrigation,['Q'],SCRO,5-022.14,3,2,2,2,2,2,1,1,2,1,1,1,2,2,2
