ID, Station Name, Latitude (deg), Longitude (deg), Ellipsoidal Elevation (m), X (m), Y (m), Z (m), Epoch Date (YYYYMMDD)
P375, SunriseFrmOR2007,   44.6892543238, -123.4269879767,   99.23130, -2502076.73825, -3790712.09307,  4462933.73789, 20230517
P376, EolaResvr_OR2004,   44.9412025053, -123.1022677351,  180.88523, -2469807.01751, -3788348.55233,  4482853.40986, 20230517
P377, MemorialPkOR2006,   44.0521183125, -122.8870597515,  142.41428, -2493144.09039, -3855723.15825,  4412354.50785, 20230517
P378, LebanonAirOR2007,   44.5349820604, -122.9308829443,   83.14043, -2475699.90104, -3822330.27701,  4450718.27820, 20230517
P380, OITCampus_OR2005,   42.2596699041, -121.7797000954, 1390.82569, -2490381.31740, -4019753.22150,  4267929.90568, 20230517
P381, AlkaliLakeOR2007,   43.0017759569, -119.9518055611, 1567.47409, -2333077.66032, -4048870.38925,  4328715.10041, 20230517
P382, WalkerRim_OR2008,   43.1770561882, -121.7695759619, 1453.23922, -2453287.39169, -3961442.83615,  4342861.09449, 20230517
P383, TwinButte_OR2007,   44.3421840239, -122.2172220983, 1295.59262, -2436358.41117, -3866293.72787,  4436268.84468, 20230517
P384, House_Mtn_OR2008,   44.8411301698, -122.4828197761, 1182.58228, -2433302.82809, -3822048.91698,  4475680.86699, 20230517
P385, SantiamJctOR2007,   44.4348476968, -121.9458356418, 1120.85309, -2414140.19212, -3871571.29439,  4443506.21227, 20230517
P386, GrantApt__OR2007,   44.4028268381, -118.9678194301, 1103.51441, -2210941.41032, -3993932.55498,  4440952.23547, 20230517
P387, SistersHSLOR2006,   44.2967554257, -121.5744789238,  962.60884, -2394556.23939, -3896183.17252,  4432423.97457, 20230517
P388, Willow_SprOR2005,   42.4687789881, -120.3776131126, 1405.75773, -2383366.71191, -4065989.29555,  4285106.28099, 20230517
P389, BrothersDTOR2007,   43.8119916841, -120.6033632643, 1397.45058, -2347408.32082, -3968718.98745,  4394008.49958, 20230517
P390, JackassButOR2007,   43.0340069847, -118.9284919272, 1554.86218, -2259209.42011, -4087745.03707,  4331325.09308, 20230517
P391, BuckskinMtOR2008,   42.2546284384, -118.4124758395, 1834.25123, -2250315.76882, -4159706.80084,  4267813.51304, 20230517
P392, WrightsPt_OR2007,   43.4467580424, -119.0010030672, 1315.52731, -2249062.73684, -4057249.06722,  4364573.73886, 20230517
P393, Barren_VlyOR2007,   43.2344945783, -117.8920406849, 1238.31712, -2177665.01934, -4114275.47750,  4347366.20517, 20230517
P394, BakerCity_OR2007,   44.8348801449, -117.7996401443, 1010.70609, -2113295.89519, -4008283.34595,  4475067.07915, 20230517
